Bệnh,Triệu chứng
Cảm cúm,"Sốt, ho, đau họng, chảy nước mũi, mệt mỏi."
Sốt xuất huyết,"Sốt cao, đau nhức cơ, xuất huyết dưới da."
Viêm phổi,"Ho có đờm, sốt, khó thở, đau ngực."
Lao phổi,"Ho kéo dài, sụt cân, đổ mồ hôi đêm."
Viêm gan B,"Mệt mỏi, vàng da, đau bụng, buồn nôn."
HIV/AIDS,"Suy giảm miễn dịch, sụt cân, nhiễm trùng cơ hội."
COVID-19,"Ho khan, sốt, khó thở, mất vị giác."
Tiểu đường,"Khát nước, đi tiểu nhiều, sụt cân, mệt mỏi."
Cao huyết áp,"Nhức đầu, chóng mặt, đau ngực."
Nhồi máu cơ tim,"Đau thắt ngực, khó thở, buồn nôn."
Đột quỵ,"Yếu một bên cơ thể, mất khả năng nói, chóng mặt."
Viêm dạ dày,"Đau bụng, đầy hơi, buồn nôn."
Hen suyễn,"Khó thở, ho, tức ngực, khò khè."
Viêm khớp,"Đau, sưng khớp, cứng khớp buổi sáng."
Loãng xương,"Đau lưng, dễ gãy xương, giảm chiều cao."
Ung thư phổi,"Ho dai dẳng, sụt cân, khó thở."
Ung thư gan,"Vàng da, đau bụng, buồn nôn, chán ăn."
Bệnh thận mãn tính,"Phù nề, tiểu ít, mệt mỏi, ngứa da."
Rối loạn lo âu,"Lo lắng quá mức, tim đập nhanh, mất ngủ."
Trầm cảm,"Mất hứng thú, buồn bã kéo dài, rối loạn giấc ngủ."
